City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Voyvozh,RU,62.89,54.96,27.57,98,99,5.73,overcast clouds
319,Peterhead,GB,57.51,-1.8,51.8,100,90,10.29,mist
320,Russell,US,32.35,-85.2,69.8,83,90,5.82,overcast clouds
321,Hobyo,SO,5.35,48.53,83.5,73,45,23.09,moderate rain
322,Leningradskiy,RU,69.38,178.42,18.5,94,97,6.87,overcast clouds
323,Chitungwiza,ZW,-18.01,31.08,91.99,17,0,5.99,clear sky
324,Black River,JM,18.03,-77.85,81.0,88,20,5.82,few clouds
325,Mbeya,TZ,-8.9,33.45,87.17,19,16,8.39,few clouds
326,Iracoubo,GF,5.48,-53.2,81.97,72,17,9.31,few clouds
327,Haimen,CN,23.19,116.61,71.6,60,0,8.95,clear sky
328,Mabaruma,GY,8.2,-59.78,76.87,95,95,3.06,overcast clouds
329,Bow Island,CA,49.87,-111.37,17.6,92,87,3.36,overcast clouds
330,Caucaia,BR,-3.74,-38.65,82.4,74,75,11.41,broken clouds
331,Whitehorse,CA,60.72,-135.05,33.8,69,75,19.46,broken clouds
332,Antofagasta,CL,-23.65,-70.4,60.8,72,90,8.05,overcast clouds
333,Cayenne,GF,4.93,-52.33,78.8,94,0,9.28,clear sky
334,Carutapera,BR,-1.2,-46.02,83.32,73,71,8.59,light rain
335,Vozdvizhenka,RU,43.9,131.95,26.6,58,88,2.24,overcast clouds
336,Lompoc,US,34.64,-120.46,41.0,67,1,6.2,clear sky
337,Storforshei,NO,66.4,14.52,39.2,80,75,4.7,broken clouds
338,Mayo,US,38.89,-76.51,51.8,100,1,1.77,fog
339,Taybad,IR,34.74,60.78,55.08,55,47,14.0,scattered clouds
340,Aswan,EG,24.09,32.91,84.45,18,0,5.86,clear sky
341,Gorontalo,ID,0.54,123.06,76.66,80,56,4.38,broken clouds
342,Hilton Head Island,US,32.22,-80.75,72.0,88,90,12.75,mist
343,Bonga,ET,7.28,36.23,73.27,69,30,2.06,light rain
344,Tagusao,PH,9.19,117.81,81.32,78,81,3.38,light rain
345,Souillac,MU,-20.52,57.52,78.8,69,40,12.75,scattered clouds
346,Beatrice,US,40.27,-96.75,64.4,82,90,23.04,overcast clouds
347,Vester Hassing,DK,57.07,10.13,48.99,90,87,4.0,overcast clouds
348,Inuvik,CA,68.35,-133.72,5.0,77,100,12.75,overcast clouds
349,Dhidhdhoo,MV,6.88,73.1,84.22,72,53,8.84,broken clouds
350,Valdivia,CL,-39.81,-73.25,48.2,100,40,3.36,scattered clouds
351,Seminole,US,28.71,-81.21,75.99,88,90,18.34,overcast clouds
352,Camacha,PT,33.08,-16.33,68.0,60,20,8.05,few clouds
353,Bolobo,CD,-2.17,16.23,85.01,64,94,5.08,light rain
354,Okhotsk,RU,59.38,143.3,4.03,87,2,20.87,clear sky
355,Burnie,AU,-41.07,145.92,55.99,78,89,3.0,overcast clouds
356,Grand Gaube,MU,-20.01,57.66,77.0,71,8,11.99,light rain
357,Borogontsy,RU,62.67,131.17,-18.4,87,4,3.22,clear sky
358,Sotnikovo,RU,51.88,107.48,28.4,79,0,4.47,clear sky
359,Ripanj,RS,44.64,20.52,42.8,100,90,3.36,fog
